claim_id,paper_location,headline_claim,claim_type,supporting_artifact,evidence_class,audit_status,cain_reuse_policy
C01,paper/main.tex abstract and sections/01_intro.tex,"ContextTrace emits an inspectable chain spanning support, citations, source condition, abstention, root cause, repair, and regression prevention.",system contribution,"packages/contexttrace/contexttrace; packages/contexttrace/tests",engineering,"Supported as implemented behavior; clean and local tests pass.","Treat as prior system work if GroundLM is archival; CAIN novelty must be new empirical evidence."
C02,paper/main.tex abstract and sections/04_system.tex,"The default path is deterministic, local, and requires no additional model calls.",system property,"packages/contexttrace/contexttrace/verify; docs/privacy.md",engineering,"Supported for the default verifier path; optional judges and endpoints can make network calls.","Use with an explicit default-path scope; measure operational behavior anew for CAIN."
C03,paper/main.tex abstract and sections/06_experiments.tex,"On 84 public-document Eval v2 cases, ContextTrace matches the frozen GPT-4.1-mini judge at 0.993 binary failure F1 and 0.012 dangerous false-green.",quantitative result,"benchmarks/contexttrace_bench/out/naturalistic_gtg_eval_v2/results.json; benchmarks/contexttrace_bench/out/naturalistic_gtg_baselines/gpt_judge_eval_v2_results.json",previously inspected holdout,"Numerically traceable in local ignored artifacts; source cases and outputs are untracked; scenarios and labels are author-created.","Calibration/context only; cannot support CAIN independent generalization."
C04,sections/06_experiments.tex and tables/table2_naturalistic_eval_v2.tex,"Eval v2 failure-label F1 is 0.457, root accuracy 0.583, citation F1 0.858, abstention F1 0.932, and unverifiable F1 0.000.",quantitative negative result,"benchmarks/contexttrace_bench/out/naturalistic_gtg_eval_v2/results.json",previously inspected holdout,"Numerically traceable and honestly negative; underlying artifact is local and untracked.","Report only as prior calibration evidence and motivation."
C05,sections/06_experiments.tex,"A post-hoc replacement-relation rule removes Eval v2's sole false green.",post-hoc result,"benchmarks/contexttrace_bench/out/naturalistic_gtg_eval_v2/post_change_results.json; false_green_audit.md",calibration,"Traceable but explicitly result-informed and post-hoc.","Do not use as untouched evidence; classify as calibration."
C06,sections/01_intro.tex and sections/05_benchmark_protocol.tex,"A blinded 50-case annotation packet and scorer are released.",artifact contribution,"benchmarks/contexttrace_bench/annotation_audit; benchmarks/contexttrace_bench/out/annotation_audit/packet_manifest.json",engineering/calibration,"Packet and scorer exist locally but are untracked; no completed independent human responses exist.","Infrastructure only; CAIN needs new sealed independent annotation."
C07,paper/main.tex abstract and sections/12_limitations.tex,"Independent adjudication remains pending.",evidence-status claim,"benchmarks/contexttrace_bench/INDEPENDENT_REVIEW.md; docs/workshop_readiness.md",status,"Supported; no independent response files were found.","Must remain explicit until new human evidence exists."
C08,tables/table1_groundedness_truth_gap.tex,"Groundedness-Truth-Gap has 180 cases with 1.000 failure F1, 0.944 source accuracy, 1.000 root accuracy, and 0.000 false-green.",quantitative conformance result,"benchmarks/contexttrace_bench/groundedness_truth_gap/groundedness_truth_gap.json; benchmarks/contexttrace_bench/out/groundedness_truth_gap/main_results.json",development/calibration,"Traceable in local untracked author-curated artifacts; targeted fixes used this benchmark.","Prior conformance evidence only; not independent evaluation."
C09,sections/06_experiments.tex and tables/table2_ragtruth_results.tex,"RAGTruth 200 has 0.955 failure F1, 0.955 root accuracy, and 0.000 false-green.",quantitative external-calibration result,"benchmarks/contexttrace_bench/out/ragtruth_release_bundle; benchmarks/contexttrace_bench/out/arr_diagnostic_safe",calibration,"Traceable with checksums; assisted review is pending independent sign-off; extensively used for v1 calibration.","Calibration control only."
C10,tables/table2_ragtruth_results.tex,"The RAGTruth locked 120 subset has 0.945 failure F1, 0.942 root accuracy, and 0.000 false-green.",quantitative locked-subset result,"benchmarks/contexttrace_bench/out/arr_ragtruth_test; benchmarks/contexttrace_bench/out/arr_diagnostic_safe_ragtruth_test",previously inspected holdout,"Traceable locally; its results and errors have been inspected and published in manuscript tables.","Calibration control only; the word locked does not restore independence."
C11,sections/06_experiments.tex,"RAGAS has higher sparse claim F1 than ContextTrace on the locked RAGTruth subset (0.533 versus 0.367).",baseline comparison,"paper/tables/table2_baselines.tex; benchmarks/contexttrace_bench/out/arr_diagnostic_safe_ragtruth_test",calibration,"Traceable and appropriately scoped to sparse labels; baseline output fields differ.","Prior calibration comparison only."
C12,sections/06_experiments.tex and table3_baseline_diagnostic_coverage.tex,"Lexical and MiniLM baselines score 0.957 binary F1 with zero false-green but predict failure on all 84 Eval v2 cases.",baseline limitation,"benchmarks/contexttrace_bench/out/naturalistic_gtg_baselines",development/calibration,"Traceable; threshold selection is degenerate because dev contains no clean cases.","Do not present as a competitive CAIN baseline; redesign and preregister on separate development data."
C13,sections/06_experiments.tex,"The frozen GPT judge has 0.333 root accuracy, 0.346 citation F1, 0.364 abstention F1, and estimated cost of $0.035 on Eval v2.",baseline comparison,"benchmarks/contexttrace_bench/out/naturalistic_gtg_baselines/gpt_judge_eval_v2_results.json; gpt_judge_config.json",calibration,"Traceable in local ignored artifacts; model and prompt are recorded.","Prior motivation only; rerun a pinned baseline on untouched CAIN IDs."
C14,sections/06_experiments.tex,"RAGAS and DeepEval naturalistic rows are N/A because no qualifying evaluator credential/model configuration was frozen.",availability claim,"benchmarks/contexttrace_bench/out/naturalistic_gtg_eval_v2/baseline_availability.md",status,"Supported as an absence statement.","CAIN needs a predeclared baseline plan and authorized access."
C15,sections/06_experiments.tex,"A 50-case LLM-simulated annotation audit agrees with author labels on 0.900 binary, 0.420 root, and 0.420 citation decisions, and misses all five positive unverifiable cases.",simulated-review result,"benchmarks/contexttrace_bench/out/annotation_audit/llm_simulated_agreement_report.md",calibration/simulation,"Traceable; correctly labeled model-based and not human validation.","Protocol stress evidence only; never substitute for independent annotators."
C16,sections/09_error_analysis.tex and tables/table4_safety_controls.tex,"On 90 constructed adversarial cases, a targeted change raises failure F1 from 0.873 to 0.934 and reduces false-green from 0.067 to 0.000.",targeted regression result,"benchmarks/contexttrace_bench/stress_tests/stress_case_pack.json; benchmarks/contexttrace_bench/out/stress_tests",development/calibration,"Traceable; cases are constructed and the change was tuned to observed errors.","Regression evidence only."
C17,sections/09_error_analysis.tex,"A 14-case CRAG source-condition study found one clean authority conflict and two organic staleness pairs.",qualitative case study,"benchmarks/contexttrace_bench/ood_source_condition; benchmarks/contexttrace_bench/out/crag_official",calibration,"Locally traceable but partly injected, tiny, and not a prevalence estimate.","Motivation only; CAIN needs a new natural source-condition track."
C18,sections/10_discussion.tex and sections/12_limitations.tex,"Failure blocking transfers more reliably than fine-grained attribution; the work does not establish broad superiority, truth verification, independent validation, or human actionability.",bounded interpretation,"paper/tables/table5_transfer_summary.tex; docs/workshop_readiness.md",calibration/status,"Consistent with the reported negative and pending evidence.","Retain as prior-work limitation; CAIN claims depend entirely on new sealed evidence."
